m.label,n.label,omop_concept_id,complementary
Carcinoma In-Situ Disorder Value Set,Carcinoma in situ of unspecified bronchus and lung,4093960,
Carcinoma In-Situ Disorder Value Set,Carcinoma in situ of other parts of respiratory system,4093957,
Carcinoma In-Situ Disorder Value Set,"Carcinoma in situ of respiratory system, unspecified",4093957,
Carcinoma In-Situ Disorder Value Set,Lobular carcinoma in situ of unspecified breast,4001315,
Carcinoma In-Situ Disorder Value Set,Intraductal carcinoma in situ of breast,4001670,
Carcinoma In-Situ Disorder Value Set,Intraductal carcinoma in situ of unspecified breast,4001670,
Carcinoma In-Situ Disorder Value Set,Intraductal carcinoma in situ of right breast,759931,
Carcinoma In-Situ Disorder Value Set,Intraductal carcinoma in situ of left breast,759930,
Carcinoma In-Situ Disorder Value Set,Other specified type of carcinoma in situ of breast,81250,
Carcinoma In-Situ Disorder Value Set,Other specified type of carcinoma in situ of unspecified breast,81250,
Carcinoma In-Situ Disorder Value Set,Other specified type of carcinoma in situ of right breast,81250,
Carcinoma In-Situ Disorder Value Set,Other specified type of carcinoma in situ of left breast,81250,
Carcinoma In-Situ Disorder Value Set,Unspecified type of carcinoma in situ of breast,81250,
Carcinoma In-Situ Disorder Value Set,Unspecified type of carcinoma in situ of unspecified breast,81250,
Carcinoma In-Situ Disorder Value Set,Unspecified type of carcinoma in situ of right breast,81250,
Carcinoma In-Situ Disorder Value Set,Unspecified type of carcinoma in situ of left breast,81250,
Carcinoma In-Situ Disorder Value Set,CARCINOMA IN SITU OF OTHER AND UNSPECIFIED GENITAL ORGANS,,Y
Carcinoma In-Situ Disorder Value Set,Carcinoma in situ of other and unspecified female genital organs,3532129,
Carcinoma In-Situ Disorder Value Set,Carcinoma in situ of unspecified female genital organs,192577,
Carcinoma In-Situ Disorder Value Set,Carcinoma in situ of other female genital organs,192577,
Carcinoma In-Situ Disorder Value Set,Carcinoma in situ of other and unspecified male genital organs,3535558,
Carcinoma In-Situ Disorder Value Set,Carcinoma in situ of unspecified male genital organs,196068,
Carcinoma In-Situ Disorder Value Set,Carcinoma in situ of other male genital organs,196068,
Carcinoma In-Situ Disorder Value Set,CARCINOMA IN SITU OF OTHER AND UNSPECIFIED SITES,,Y
Carcinoma In-Situ Disorder Value Set,Carcinoma in situ of bladder,192855,
Carcinoma In-Situ Disorder Value Set,Carcinoma in situ of other and unspecified urinary organs,4111036,
Carcinoma In-Situ Disorder Value Set,Carcinoma in situ of unspecified urinary organ,81247,
Carcinoma In-Situ Disorder Value Set,Carcinoma in situ of other urinary organs,81247,
Carcinoma In-Situ Disorder Value Set,Carcinoma in situ of unspecified eye,373732,
Carcinoma In-Situ Disorder Value Set,Carcinoma in situ of thyroid and other endocrine glands,4241917,
Carcinoma In-Situ Disorder Value Set,Carcinoma in situ of other specified sites,433435,
Carcinoma In-Situ Disorder Value Set,"Carcinoma in situ, unspecified",433435,
Carcinoma In-Situ Disorder Value Set,null,,
Condition Status Trend Value Set,Patient's condition improved (finding),4149524,
Condition Status Trend Value Set,Patient's condition worsened (finding),4150631,
Condition Status Trend Value Set,Patient's condition stable (finding),4234874,
Condition Status Trend Value Set,Malignant neoplasm in full remission (disorder),37172812,
Condition Status Trend Value Set,Malignant neoplasm in partial remission (disorder),37172814,
Condition Status Trend Value Set,Patient condition undetermined (finding),46271098,
Cytologic Evidence of Malignancy Value Set,Cytologic evidence of malignancy on smear of anus,45757385,
Cytologic Evidence of Malignancy Value Set,Cytologic evidence of malignancy on smear of vagina,45757386,
Cytologic Evidence of Malignancy Value Set,Cytological evidence of malignancy on anal Papanicolaou smear (finding),45757385,
Cytologic Evidence of Malignancy Value Set,Cytological evidence of malignancy on vaginal Papanicolaou smear (finding),45757386,
Histology Morphology Behavior Value Set,In situ melanocytic morphology (morphologic abnormality),4102384,
Histology Morphology Behavior Value Set,Malignant neoplasm with pilar differentiation (morphologic abnormality),4290824,
Histology Morphology Behavior Value Set,null,,
Human Specimen Type Value Set,Amniotic fluid,4002223,
Human Specimen Type Value Set,Bile Fluid,4001061,
Human Specimen Type Value Set,Whole blood,4122283,
Human Specimen Type Value Set,Blood arterial,4047496,
Human Specimen Type Value Set,Cord blood,4046835,
Human Specimen Type Value Set,Blood venous,4045667,
Human Specimen Type Value Set,Bone,40282271,
Human Specimen Type Value Set,"Serum, Convalescent",3667303,
Human Specimen Type Value Set,Cerebral spinal fluid,,Y
Human Specimen Type Value Set,Cervical Mucus,4046281,
Human Specimen Type Value Set,Duodenal fluid,4046839,
Human Specimen Type Value Set,"Blood, Fetal",42537789,
Human Specimen Type Value Set,"Fluid, Abdomen",,Y
Human Specimen Type Value Set,Genital vaginal,4204936,
Human Specimen Type Value Set,"Fluid, Hydrocele",4120337,
Human Specimen Type Value Set,"Fluid, Joint",4331823,
Human Specimen Type Value Set,"Fluid, Kidney",,Y
Human Specimen Type Value Set,"Fluid, Lumbar Sac",,Y
Human Specimen Type Value Set,Marrow,4000623,
Human Specimen Type Value Set,Pancreatic fluid,4002880,
Human Specimen Type Value Set,"Fluid, Pericardial",4048848,
Human Specimen Type Value Set,Placenta,4001192,
Human Specimen Type Value Set,Pleural fluid (thoracentesis fluid),4048964,
Human Specimen Type Value Set,Saliva,4001062,
Human Specimen Type Value Set,Skin,,
Human Specimen Type Value Set,Seminal fluid,4002881,
Human Specimen Type Value Set,"Fluid, synovial (Joint fluid)",4002875,
Human Specimen Type Value Set,Sputum,4002876,
Human Specimen Type Value Set,Stool = Fecal,4002879,
Human Specimen Type Value Set,Tissue,4002890,
Human Specimen Type Value Set,Tumor,4122248,
Human Specimen Type Value Set,Urine,4046280,
Human Specimen Type Value Set,Vitreous Fluid,4120333,
Human Specimen Type Value Set,Wound,4002221,
Specific Diagnosis of Cancer Value Set,Idiopathic hypereosinophilic syndrome [HES],4308623,
Specific Diagnosis of Cancer Value Set,Lymphocytic Variant Hypereosinophilic Syndrome [LHES],3655640,
Specific Diagnosis of Cancer Value Set,Other hypereosinophilic syndrome,40571991,
Specific Diagnosis of Cancer Value Set,"Hypereosinophilic syndrome [HES], unspecified",40571991,
Specific Diagnosis of Cancer Value Set,null,,
Laterality Qualifier Value Set,Right (qualifier value),,
Laterality Qualifier Value Set,Midline (qualifier value),4161551,
Laterality Qualifier Value Set,Right and left (qualifier value),4197258,
Laterality Qualifier Value Set,Left (qualifier value),,
Melanoma In-Situ Disorder Value Set,Melanoma in situ of skin,4031756,
Melanoma In-Situ Disorder Value Set,"Melanoma in situ of unspecified eyelid, including canthus",4033836,
Melanoma In-Situ Disorder Value Set,"Melanoma in situ of right eyelid, including canthus",4033836,
Melanoma In-Situ Disorder Value Set,"Melanoma in situ of right upper eyelid, including canthus",4033836,
Melanoma In-Situ Disorder Value Set,"Melanoma in situ of right lower eyelid, including canthus",4033836,
Melanoma In-Situ Disorder Value Set,"Melanoma in situ of left eyelid, including canthus",4033836,
Melanoma In-Situ Disorder Value Set,"Melanoma in situ of left upper eyelid, including canthus",4033836,
Melanoma In-Situ Disorder Value Set,"Melanoma in situ of left lower eyelid, including canthus",4033836,
Melanoma In-Situ Disorder Value Set,Melanoma in situ of ear and external auricular canal,4031759,
Melanoma In-Situ Disorder Value Set,Melanoma in situ of unspecified ear and external auricular canal,4031759,
Melanoma In-Situ Disorder Value Set,Melanoma in situ of right ear and external auricular canal,36684811,
Melanoma In-Situ Disorder Value Set,Melanoma in situ of left ear and external auricular canal,36685061,
Melanoma In-Situ Disorder Value Set,Melanoma in situ of other and unspecified parts of face,4031107,
Melanoma In-Situ Disorder Value Set,Melanoma in situ of unspecified part of face,4031107,
Melanoma In-Situ Disorder Value Set,Melanoma in situ of other parts of face,4031107,
Melanoma In-Situ Disorder Value Set,Melanoma in situ of scalp and neck,4098922,
Melanoma In-Situ Disorder Value Set,Melanoma in situ of breast (skin) (soft tissue),4033300,
Melanoma In-Situ Disorder Value Set,Melanoma in situ of other part of trunk,4031109,
Melanoma In-Situ Disorder Value Set,"Melanoma in situ of upper limb, including shoulder",4031111,
Melanoma In-Situ Disorder Value Set,"Melanoma in situ of unspecified upper limb, including shoulder",4031111,
Melanoma In-Situ Disorder Value Set,"Melanoma in situ of right upper limb, including shoulder",4031111,
Melanoma In-Situ Disorder Value Set,"Melanoma in situ of left upper limb, including shoulder",4031111,
Melanoma In-Situ Disorder Value Set,"Melanoma in situ of lower limb, including hip",4031113,
Melanoma In-Situ Disorder Value Set,"Melanoma in situ of unspecified lower limb, including hip",4031113,
Melanoma In-Situ Disorder Value Set,"Melanoma in situ of right lower limb, including hip",4031113,
Melanoma In-Situ Disorder Value Set,"Melanoma in situ of left lower limb, including hip",4031113,
Melanoma In-Situ Disorder Value Set,Melanoma in situ of other sites,4031756,
Melanoma In-Situ Disorder Value Set,"Melanoma in situ, unspecified",40391314,
Melanoma In-Situ Disorder Value Set,null,,
Primary Cancer Disorder Value Set,null,,
Primary Cancer Disorder Value Set,null,,
Primary Cancer Disorder Value Set,null,,
Primary Cancer Disorder Value Set,null,,
Primary Cancer Disorder Value Set,null,,
Primary Cancer Disorder Value Set,null,,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of external upper lip,138074,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of external lower lip,4089516,
Primary Malignant Neoplasm Disorder Value Set,"Malignant neoplasm of external lip, unspecified",133969,
Primary Malignant Neoplasm Disorder Value Set,"Malignant neoplasm of upper lip, inner aspect",4090216,
Primary Malignant Neoplasm Disorder Value Set,"Malignant neoplasm of lower lip, inner aspect",4150793,
Primary Malignant Neoplasm Disorder Value Set,"Malignant neoplasm of lip, unspecified, inner aspect",4180779,
Primary Malignant Neoplasm Disorder Value Set,"Malignant neoplasm of commissure of lip, unspecified",255192,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of overlapping sites of lip,133710,
Primary Malignant Neoplasm Disorder Value Set,"Malignant neoplasm of lip, unspecified",4180779,
Primary Malignant Neoplasm Disorder Value Set,MALIGNANT NEOPLASM OF BASE OF TONGUE,4181332,
Primary Malignant Neoplasm Disorder Value Set,"Malignant neoplasm of anterior two-thirds of tongue, part unspecified",436042,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of lingual tonsil,4180783,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of overlapping sites of tongue,436043,
Primary Malignant Neoplasm Disorder Value Set,"Malignant neoplasm of tongue, unspecified",437498,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of upper gum,4181334,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of lower gum,4181335,
Primary Malignant Neoplasm Disorder Value Set,"Malignant neoplasm of gum, unspecified",140950,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of anterior floor of mouth,438982,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of lateral floor of mouth,440344,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of overlapping sites of floor of mouth,140955,
Primary Malignant Neoplasm Disorder Value Set,"Malignant neoplasm of floor of mouth, unspecified",135750,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of hard palate,4180787,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of soft palate,4181336,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of uvula,434285,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of overlapping sites of palate,4001170,
Primary Malignant Neoplasm Disorder Value Set,"Malignant neoplasm of palate, unspecified",4178964,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of cheek mucosa,4180786,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of vestibule of mouth,4090226,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of retromolar area,4178965,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of overlapping sites of unspecified parts of mouth,140955,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of overlapping sites of other parts of mouth,140955,
Primary Malignant Neoplasm Disorder Value Set,"Malignant neoplasm of mouth, unspecified",439404,
Primary Malignant Neoplasm Disorder Value Set,MALIGNANT NEOPLASM OF PAROTID GLAND,4180784,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of submandibular gland,22557,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of sublingual gland,4180785,
Primary Malignant Neoplasm Disorder Value Set,"Malignant neoplasm of major salivary gland, unspecified",4247836,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of tonsillar fossa,4180788,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of tonsillar pillar (anterior) (posterior),440047,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of overlapping sites of tonsil,4002498,
Primary Malignant Neoplasm Disorder Value Set,"Malignant neoplasm of tonsil, unspecified",31509,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of vallecula,4177102,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of anterior surface of epiglottis,436643,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of posterior wall of oropharynx,4094721,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of branchial cleft,4181340,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of overlapping sites of oropharynx,438691,
Primary Malignant Neoplasm Disorder Value Set,"Malignant neoplasm of oropharynx, unspecified",432833,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of posterior wall of nasopharynx,4094722,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of lateral wall of nasopharynx,4177103,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of anterior wall of nasopharynx,4095313,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of overlapping sites of nasopharynx,432558,
Primary Malignant Neoplasm Disorder Value Set,"Malignant neoplasm of nasopharynx, unspecified",36684473,
Primary Malignant Neoplasm Disorder Value Set,MALIGNANT NEOPLASM OF PYRIFORM SINUS,4180789,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of postcricoid region,4177104,
Primary Malignant Neoplasm Disorder Value Set,"Malignant neoplasm aryepiglottic fold, hypopharyngeal aspect",434577,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of posterior wall of hypopharynx,435474,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of overlapping sites of hypopharynx,440044,
Primary Malignant Neoplasm Disorder Value Set,"Malignant neoplasm of hypopharynx, unspecified",439746,
Primary Malignant Neoplasm Disorder Value Set,"Malignant neoplasm of pharynx, unspecified",4177243,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of Waldeyer's ring,4089655,
Primary Malignant Neoplasm Disorder Value Set,"Malignant neoplasm of overlapping sites of lip, oral cavity and pharynx",444224,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of upper third of esophagus,432260,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of middle third of esophagus,437805,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of lower third of esophagus,193138,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of overlapping sites esophagus,25748,
Primary Malignant Neoplasm Disorder Value Set,"Malignant neoplasm of esophagus, unspecified",26638,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of cardia,432838,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of fundus of stomach,4095319,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of body of stomach,4095320,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of pyloric antrum,438089,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of pylorus,192255,
Primary Malignant Neoplasm Disorder Value Set,"Malignant neoplasm of lesser curvature of stomach, unspecified",434292,
Primary Malignant Neoplasm Disorder Value Set,"Malignant neoplasm of greater curvature of stomach, unspecified",437224,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of overlapping sites of stomach,197803,
Primary Malignant Neoplasm Disorder Value Set,"Malignant neoplasm of stomach, unspecified",196044,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of duodenum,435752,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of jejunum,436913,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of ileum,4311480,
Primary Malignant Neoplasm Disorder Value Set,"Meckel's diverticulum, malignant",432256,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of overlapping sites of small intestine,199747,
Primary Malignant Neoplasm Disorder Value Set,"Malignant neoplasm of small intestine, unspecified",192836,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of cecum,432837,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of ascending colon,435754,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of hepatic flexure,4180791,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of transverse colon,443384,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of splenic flexure,437798,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of descending colon,443382,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of sigmoid colon,443381,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of overlapping sites of colon,79740,
Primary Malignant Neoplasm Disorder Value Set,"Malignant neoplasm of colon, unspecified",197500,
Primary Malignant Neoplasm Disorder Value Set,MALIGNANT NEOPLASM OF RECTOSIGMOID JUNCTION,4180792,
Primary Malignant Neoplasm Disorder Value Set,MALIGNANT NEOPLASM OF RECTUM,74582,
Primary Malignant Neoplasm Disorder Value Set,"Malignant neoplasm of anus, unspecified",4180911,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of anal canal,4180780,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of cloacogenic zone,4177238,
Primary Malignant Neoplasm Disorder Value Set,"Malignant neoplasm of overlapping sites of rectum, anus and anal canal",438090,
Primary Malignant Neoplasm Disorder Value Set,Other sarcomas of liver,4115271,
Primary Malignant Neoplasm Disorder Value Set,Other specified carcinomas of liver,4001171,
Primary Malignant Neoplasm Disorder Value Set,"Malignant neoplasm of liver, primary, unspecified as to type",201519,
Primary Malignant Neoplasm Disorder Value Set,"Malignant neoplasm of liver, not specified as primary or secondary",4246127,
Primary Malignant Neoplasm Disorder Value Set,MALIGNANT NEOPLASM OF GALLBLADDER,4181327,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of extrahepatic bile duct,40486896,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of Ampulla of Vater,4178966,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of overlapping sites of biliary tract,198695,
Primary Malignant Neoplasm Disorder Value Set,"Malignant neoplasm of biliary tract, unspecified",194589,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of head of pancreas,4178967,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of body of pancreas,4092072,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of tail of pancreas,4095436,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of pancreatic duct,4094866,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of endocrine pancreas,25486,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of other parts of pancreas,199754,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of overlapping sites of pancreas,192261,
Primary Malignant Neoplasm Disorder Value Set,"Malignant neoplasm of pancreas, unspecified",199754,
Primary Malignant Neoplasm Disorder Value Set,"Malignant neoplasm of intestinal tract, part unspecified",443398,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of spleen,4180913,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of ill-defined sites within the digestive system,443568,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of nasal cavity,438367,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of middle ear,4247336,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of maxillary sinus,4181347,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of ethmoidal sinus,140046,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of frontal sinus,4181348,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of sphenoid sinus,136639,
